# FreEMnorm 17th-c.-French historical->modern pairs (surface<TAB>norm<TAB>count)
# 55 files, 28043 aligned rows; 9973 distinct pairs, 407 with count>=20
ie	je	2601
vn	un	1657
luy	lui	1475
vne	une	999
ay	ai	992
vostre	votre	961
moy	moi	955
estre	être	899
mesme	même	748
estoit	était	696
avoit	avait	441
ny	ni	420
auec	avec	414
quoy	quoi	355
esté	été	345
ame	âme	341
nostre	notre	290
vôtre	votre	289
apres	après	271
icy	ici	263
pere	père	254
auoir	avoir	249
roy	roi	242
auoit	avait	232
auez	avez	224
celuy	celui	211
eust	eût	202
estes	êtes	201
sçay	sais	196
seroit	serait	191
toûjours	toujours	189
iamais	jamais	179
helas	hélas	178
estat	état	158
voy	vois	155
huy	hui	153
cét	cet	151
estant	étant	151
estoient	étaient	148
pourquoy	pourquoi	148
oüy	oui	147
veu	vu	147
foy	foi	145
tousiours	toujours	141
vray	vrai	137
toy	toi	135
ceste	cette	123
grace	grâce	117
pû	pu	117
tres	très	111
voila	voilà	110
auroit	aurait	109
maistre	maître	106
faisoit	faisait	103
iour	jour	102
premiere	première	102
aprés	après	99
croy	crois	99
veuë	vue	96
costé	côté	94
mesmes	mêmes	94
verité	vérité	93
sçait	sait	92
teste	tête	90
estois	étais	87
frere	frère	82
auecque	avec	80
mere	mère	79
ennemy	ennemi	78
parmy	parmi	77
déja	déjà	76
fust	fût	76
aurois	aurais	75
eglise	église	74
annibal	hannibal	73
memoire	mémoire	72
ouy	oui	72
pourroit	pourrait	71
colere	colère	70
cy	ci	70
desespoir	désespoir	70
reyne	reine	70
dés	dès	69
auois	avais	68
artamene	artamène	67
necessaire	nécessaire	67
plustost	plutôt	66
sçauroit	saurait	66
esperance	espérance	65
deuant	devant	64
joye	joie	63
leonatus	léonatus	63
avois	avais	62
sentimens	sentiments	62
heros	héros	61
loix	lois	61
auons	avons	60
trouuer	trouver	59
voicy	voici	59
vuide	vide	59
amy	ami	58
desirs	désirs	58
enfans	enfants	57
falloit	fallait	57
vanger	venger	57
auoient	avaient	56
encor	encore	56
serois	serais	56
vouloit	voulait	56
fidelle	fidèle	55
iours	jours	55
toutesfois	toutefois	55
chere	chère	54
sçaurois	saurais	54
mary	mari	53
sçauoir	savoir	53
connoistre	connaître	52
maistresse	maîtresse	52
merite	mérite	52
sembloit	semblait	52
pouvoit	pouvait	51
roys	rois	51
souuent	souvent	51
tantost	tantôt	51
derniere	dernière	50
foiblesse	faiblesse	50
pouuoir	pouvoir	50
sçavoir	savoir	50
veritablement	véritablement	50
voyoit	voyait	50
devoit	devait	49
entens	entends	49
ilz	ils	49
mauuais	mauvais	49
paroistre	paraître	49
vangeance	vengeance	49
veritable	véritable	49
monseignevr	monseigneur	48
iusques	jusques	47
troye	troie	47
auiourd	aujourd	46
dauantage	davantage	46
momens	moments	46
allarmes	alarmes	45
avoient	avaient	45
deuotion	dévotion	45
extréme	extrême	45
graces	grâces	45
presence	présence	45
seray	serai	45
auray	aurai	44
authorité	autorité	44
empescher	empêcher	44
flame	flamme	44
neantmoins	néanmoins	44
necessité	nécessité	44
plaist	plaît	44
soy	soi	44
arrest	arrêt	43
auant	avant	43
berenice	bérénice	43
iusqu	jusqu	43
jusques	jusqu	43
matiere	matière	43
nouuelle	nouvelle	43
plutost	plutôt	43
trouue	trouve	43
iusques	jusqu	42
peuuent	peuvent	42
seruir	servir	42
disoit	disait	41
vns	uns	41
espere	espère	40
faudroit	faudrait	40
isperie	ispérie	40
party	parti	40
païs	pays	40
voudrois	voudrais	40
genereux	généreux	39
lumiere	lumière	39
mauuaise	mauvaise	39
nôtre	notre	39
alloit	allait	38
entiere	entière	38
liures	livres	38
soûpirs	soupirs	38
succés	succès	38
ayme	aime	37
bontez	bontés	37
desir	désir	37
ennuy	ennui	37
epire	épire	37
epoux	époux	37
faueur	faveur	37
prés	près	37
siecle	siècle	37
desormais	désormais	36
difference	différence	36
monsievr	monsieur	36
sçauez	savez	36
ames	âmes	35
aupres	auprès	35
diray	dirai	35
dy	dis	35
feray	ferai	35
flames	flammes	35
françois	français	35
ieune	jeune	35
infidelle	infidèle	35
misere	misère	35
pauure	pauvre	35
receu	reçu	35
vostre	vôtre	35
aymer	aimer	34
celadon	céladon	34
demy	demi	34
deuez	devez	34
loy	loi	34
maiesté	majesté	34
oster	ôter	34
prest	prêt	34
veû	vu	34
auprés	auprès	33
effect	effet	33
grece	grèce	33
iustice	justice	33
maniere	manière	33
present	présent	33
receuoir	recevoir	33
remply	rempli	33
agreable	agréable	32
equilibre	équilibre	32
faict	fait	32
hermionne	hermione	32
nouuelles	nouvelles	32
seruice	service	32
viure	vivre	32
cartage	carthage	31
deuoir	devoir	31
flâme	flamme	31
gréce	grèce	31
honneste	honnête	31
oüi	oui	31
plûtost	plutôt	31
riuiere	rivière	31
sçavez	savez	31
zele	zèle	31
assirie	assyrie	30
desia	déjà	30
fay	fais	30
isle	île	30
pourueu	pourvu	30
sainct	saint	30
tost	tôt	30
aléxandre	alexandre	29
attens	attends	29
croyois	croyais	29
interest	intérêt	29
legitime	légitime	29
mouvemens	mouvements	29
ouuerture	ouverture	29
poinct	point	29
pouuoit	pouvait	29
prens	prends	29
resolu	résolu	29
suiure	suivre	29
sçeu	su	29
connoissance	connaissance	28
creu	cru	28
deuoit	devait	28
disgrace	disgrâce	28
general	général	28
nuict	nuit	28
ouuertures	ouvertures	28
peres	pères	28
pourrois	pourrais	28
pouuez	pouvez	28
resoudre	résoudre	28
sauuer	sauver	28
venoit	venait	28
voye	voie	28
étre	être	28
costez	côtés	27
esperer	espérer	27
hazard	hasard	27
iuge	juge	27
paroist	paraît	27
perils	périls	27
perir	périr	27
pres	près	27
remede	remède	27
trouué	trouvé	27
amans	amants	26
asseuré	assuré	26
beautez	beautés	26
connois	connais	26
considerer	considérer	26
enuiron	environ	26
escrire	écrire	26
obeïr	obéir	26
peché	péché	26
pouvois	pouvais	26
proye	proie	26
sermens	serments	26
tenoit	tenait	26
tousjours	toujours	26
appeller	appeler	25
auroient	auraient	25
bergere	bergère	25
escrit	écrit	25
estats	états	25
feroit	ferait	25
foible	faible	25
liure	livre	25
miserable	misérable	25
ou	où	25
qualitez	qualités	25
segeste	ségeste	25
subiect	sujet	25
sçais	sais	25
voulois	voulais	25
étoit	était	25
aduis	avis	24
arriuer	arriver	24
aussy	aussi	24
aye	aie	24
ayent	aient	24
cõme	comme	24
desire	désire	24
enuie	envie	24
faisoient	faisaient	24
iugement	jugement	24
iuste	juste	24
maistres	maîtres	24
mauuaises	mauvaises	24
mays	mais	24
méme	même	24
reputation	réputation	24
resistance	résistance	24
respondit	répondit	24
senat	sénat	24
succez	succès	24
suiuant	suivant	24
viste	vite	24
autheur	auteur	23
av	au	23
cleone	cléone	23
crû	cru	23
donnoit	donnait	23
effroy	effroi	23
ell	elle	23
estions	étions	23
fenestre	fenêtre	23
peril	péril	23
peu	pu	23
procez	procès	23
siecles	siècles	23
sçaura	saura	23
voudroit	voudrait	23
vû	vu	23
arreste	arrête	22
arrester	arrêter	22
bientost	bientôt	22
conqueste	conquête	22
doiuent	doivent	22
donques	donc	22
doy	dois	22
entierement	entièrement	22
extremité	extrémité	22
iray	irai	22
ouurage	ouvrage	22
paroître	paraître	22
soûmis	soumis	22
vraye	vraie	22
aimoit	aimait	21
asseure	assure	21
cecy	ceci	21
chrestienne	chrétienne	21
clelie	clélie	21
desja	déjà	21
desordre	désordre	21
estiez	étiez	21
fust	fut	21
meriter	mériter	21
naistre	naître	21
pese	pèse	21
regner	régner	21
remedes	remèdes	21
resolution	résolution	21
seruiteur	serviteur	21
theatre	théâtre	21
venuë	venue	21
consideration	considération	20
considere	considère	20
encores	encore	20
estrange	étrange	20
experiences	expériences	20
fidelité	fidélité	20
jetter	jeter	20
mystere	mystère	20
parens	parents	20
prophetes	prophètes	20
saincte	sainte	20
separer	séparer	20
souuenir	souvenir	20
sçache	sache	20
tuë	tue	20
